module,test,dtype,n_total,n_diff,max_ulp,tol,histogram,status
solve,solve batch[78] n=7,float32,7,7,20,atol=1e-14,1×7ULP 1×10ULP 1×11ULP 1×13ULP 1×15ULP 1×18ULP 1×20ULP,within atol=1e-14
solve,solve batch[79] n=5,float32,5,5,8,atol=1e-14,2×5ULP 3×8ULP,within atol=1e-14
solve,solve batch[80] n=8,float32,8,8,92,atol=1e-14,1×44ULP 1×55ULP 1×59ULP 1×74ULP 1×83ULP 1×84ULP 1×87ULP 1×92ULP,within atol=1e-14
solve,solve batch[81] n=4,float32,4,3,7,atol=1e-14,2×1ULP 1×7ULP,within atol=1e-14
solve,solve batch[82] n=4,float32,4,3,1,atol=1e-14,3×1ULP,within atol=1e-14
solve,solve batch[83] n=5,float32,5,5,11,atol=1e-14,3×7ULP 1×10ULP 1×11ULP,within atol=1e-14
solve,solve batch[84] n=8,float32,8,8,51,atol=1e-14,1×7ULP 2×9ULP 1×11ULP 2×12ULP 1×18ULP 1×51ULP,within atol=1e-14
solve,solve batch[85] n=4,float32,4,3,2,atol=1e-14,1×1ULP 2×2ULP,within atol=1e-14
solve,solve batch[86] n=8,float32,8,7,59,atol=1e-14,3×1ULP 2×5ULP 1×14ULP 1×59ULP,within atol=1e-14
solve,solve batch[87] n=7,float32,7,4,2,atol=1e-14,3×1ULP 1×2ULP,within atol=1e-14
solve,solve batch[88] n=5,float32,5,4,3,atol=1e-14,1×1ULP 2×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[89] n=5,float32,5,4,5,atol=1e-14,2×1ULP 1×3ULP 1×5ULP,within atol=1e-14
solve,solve batch[90] n=8,float32,8,8,37,atol=1e-14,1×6ULP 2×22ULP 1×23ULP 2×26ULP 1×27ULP 1×37ULP,within atol=1e-14
solve,solve batch[91] n=8,float32,8,5,4,atol=1e-14,1×1ULP 1×2ULP 2×3ULP 1×4ULP,within atol=1e-14
solve,solve batch[92] n=6,float32,6,6,12,atol=1e-14,1×1ULP 3×3ULP 1×10ULP 1×12ULP,within atol=1e-14
solve,solve batch[93] n=6,float32,6,4,2,atol=1e-14,3×1ULP 1×2ULP,within atol=1e-14
solve,solve batch[94] n=6,float32,6,1,1,atol=1e-14,1×1ULP,within atol=1e-14
solve,solve batch[95] n=5,float32,5,3,2,atol=1e-14,1×1ULP 2×2ULP,within atol=1e-14
solve,solve batch[96] n=6,float32,6,6,220,atol=1e-14,1×115ULP 1×126ULP 1×138ULP 1×196ULP 1×203ULP 1×220ULP,within atol=1e-14
solve,solve batch[97] n=4,float32,4,4,2,atol=1e-14,2×1ULP 2×2ULP,within atol=1e-14
solve,solve batch[98] n=6,float32,6,5,2,atol=1e-14,1×1ULP 4×2ULP,within atol=1e-14
solve,solve batch[99] n=6,float32,6,6,103,atol=1e-14,1×45ULP 1×69ULP 1×71ULP 1×73ULP 1×75ULP 1×103ULP,within atol=1e-14
solve,solve large n=10,float64,10,9,11,atol=1e-14,2×1ULP 3×2ULP 1×3ULP 1×4ULP 1×9ULP 1×11ULP,within atol=1e-14
